"STR_ID","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Tree12","Tree13","Tree14","Tree15","Tree16","Tree17"
90405,0,0,0,0,0,1,0,0,0,0,0,1
90406,0,0,2,18,25,16,0,0,2,18,25,17
90407,0,0,1,1,14,19,0,0,1,1,14,20
90408,1,1,0,2,31,14,1,2,0,2,37,14
90409,0,0,3,2,25,18,0,0,7,2,29,20
90411,0,0,2,0,0,4,0,0,2,0,0,7
90412,0,0,0,1,1,11,0,0,0,1,1,11
90434,0,0,0,8,0,0,0,0,0,8,0,0
90437,0,0,2,0,4,0,0,0,2,0,4,0
90439,0,0,2,0,2,0,0,0,2,0,2,0
90447,0,0,0,0,0,1,0,0,0,0,0,1
90452,0,4,0,0,0,0,0,12,0,0,0,0
90453,0,1,1,0,0,0,0,4,3,0,0,0
90455,0,0,1,0,0,1,0,0,1,0,0,2
90456,0,0,0,4,38,30,0,0,0,4,38,31
90457,3,0,1,0,0,0,3,0,1,0,0,0
90459,2,0,0,0,0,1,2,0,0,0,0,1
90462,0,0,0,7,64,40,0,0,0,7,64,40
90479,0,1,0,2,0,0,0,1,0,2,0,0
90483,0,0,2,0,10,0,0,0,2,0,22,0
90496,0,3,0,0,0,0,0,6,0,0,0,0
90501,0,0,1,0,0,0,0,0,1,0,0,0
90502,0,0,1,2,102,84,0,0,1,2,102,89
90503,3,0,5,0,0,7,3,0,5,0,0,8
90504,0,0,0,0,0,1,0,0,0,0,0,2
90507,1,1,0,0,0,3,1,5,0,0,0,3
90508,0,1,0,0,13,0,0,5,0,0,13,0
90509,1,0,0,0,0,1,24,0,0,0,0,1
90510,0,0,0,1,0,26,0,0,0,1,0,30
90525,0,0,1,0,0,0,0,0,1,0,0,0
90526,0,0,2,8,0,0,0,0,2,9,0,0
90556,1,4,0,0,0,0,1,12,0,0,0,0
90559,0,1,0,0,0,0,0,2,0,0,0,0
90560,1,0,0,0,1,0,1,0,0,0,1,0
90561,0,0,0,18,30,14,0,0,0,18,30,15
90565,0,0,0,2,11,5,0,0,0,2,11,5
90566,0,4,0,23,1,53,0,7,0,26,1,55
90567,0,1,0,0,8,4,0,2,0,0,8,6
90568,0,2,0,0,0,0,0,2,0,0,0,0
90623,0,0,0,0,1,2,0,0,0,0,12,2
90624,0,0,2,0,35,30,0,0,10,0,35,30
90626,1,0,3,16,50,11,28,0,15,18,55,11
90627,0,0,1,1,16,16,0,0,1,1,18,17
90628,0,0,0,3,47,20,0,0,0,3,50,21
90632,0,0,0,0,0,1,0,0,0,0,0,1
90635,0,0,6,0,0,0,0,0,6,0,0,0
90639,0,0,2,0,9,0,0,0,2,0,11,0
90640,0,0,8,0,0,0,0,0,8,0,0,0
90641,0,0,1,0,0,0,0,0,1,0,0,0
90643,0,0,0,2,0,0,0,0,0,2,0,0
90646,0,0,1,0,0,0,0,0,1,0,0,0
90650,0,0,0,0,1,0,0,0,0,0,1,0
90651,0,0,0,1,0,2,0,0,0,1,0,2
90657,0,1,0,3,3,2,0,1,0,3,3,2
