PLSFILL_,County,RC_tree,CT_R16,RCT2012,RCT2013,RCT2014,RCT2015,RCT2016,STR_ID__14,Loc12,Loc13,Loc14,Loc15,Loc16,Loc17,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Loc15_17,STR_ID__15,HLB11,HLB12,HLB15,HLB16,HLB17,HLB_all
45572,San Joaquin,2543,0.150551,0,0,0,0,0,45572,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45574,San Joaquin,3164,0.098633,0,0,0,0,0,45574,0,0,0,4,1,1,0,0,0,4,1,1,2,0,0,0,0,0,0,0
45577,San Joaquin,3808,0.220093,0,0,0,0,0,45577,0,0,0,6,2,4,0,0,0,6,2,4,4,0,0,0,0,0,0,0
45579,San Joaquin,2202,0.155196,0,0,0,0,0,45579,0,0,0,4,1,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0
45602,San Joaquin,82,0.006372,0,0,0,0,0,45602,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45709,San Joaquin,1427,0.128499,0,0,0,0,0,45709,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
45715,San Joaquin,2469,0.094676,0,0,0,0,0,45715,0,0,0,2,3,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0
45718,San Joaquin,2249,0.094444,0,0,0,0,0,45718,0,0,0,4,1,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0
45721,San Joaquin,3146,0.085171,0,0,0,0,0,45721,0,0,0,4,0,6,0,0,0,4,0,6,3,0,0,0,0,0,0,0
45739,San Joaquin,93,0.004428,0,0,0,0,0,45739,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
45795,Contra Costa,2599,0.07263,0,0,0,0,0,45795,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45847,San Joaquin,668,0.037399,0,0,0,0,0,45847,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
45850,San Joaquin,3036,0.048253,0,0,0,0,0,45850,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
45854,San Joaquin,4945,0.081661,0,0,0,0,0,45854,0,1,0,0,0,6,0,1,0,0,0,6,2,0,0,0,0,0,0,0
45855,San Joaquin,3207,0.261947,0,0,0,0,0,45855,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
