STR,HLBct12,HLBct13,HLBct14,HLBct15,HLBct16,HLBct17,Treect12,Treect13,Treect14,Treect15,Treect16,Treect17,ACPct12,ACPct13,ACPct14,ACPct15,ACPct16,ACPct17,HLB_FRisk
92924,0.02374526,0,0,0,0.155436877,24.81566387,0.127105516,0.212054466,0.385477886,0.211431224,0.32203024,12.92897088,0,0.02957254,0.17100182,1.392999239,0.6189245,6.153333014,47.54774733
92122,0.04210768,0,0,1.547288977,2.117406257,20.40422011,0.150936242,0.459509859,0.679666052,2.631216663,2.242736124,4.786559237,0,0.224350362,0.171955727,2.281146751,5.149583421,4.578389585,47.46707305
92349,0.025235403,0,0,0.648251815,0.866513758,30.72016768,0.088475843,0.298720084,0.387920236,1.911374882,0.904386284,2.829449056,0,0.239447822,0.079981308,2.224312416,1.907710243,4.290122572,47.4220694
92858,0.026938281,0,0,0,0.134108657,19.6646054,0.246142633,0.305698157,0.517591011,0.174165698,0.342065256,17.55301941,0,0.03743911,0.168631978,1.318036394,0.634446746,5.927763285,47.05065202
93243,0,0,0,0,0,29.17104147,0.033994115,0,0.457145739,0.332721458,0.152732934,9.096997664,0,0,0.295663226,1.058235441,0.261285642,5.975866231,46.83568392
93114,0,0,0,0,0,24.870871,0.061904396,0,0.163267908,0.273539663,0.101105472,12.05336468,0,0,0.156087559,0.7167414,0.312277409,8.023337826,46.73249731
92043,0.047088464,0,0,1.656237939,2.321572385,14.26802648,0.170792819,0.507929856,0.756725722,2.914914498,2.924079051,5.42998753,0,0.603512067,0.193962201,2.524245133,7.703397456,4.664015715,46.68648732
92410,0.055683341,0,0,0.508341331,0.805685396,26.30573473,0.192612903,0.60216134,0.913215561,1.338190811,1.08836428,2.938443992,0,0.183524207,0.228162779,4.75662849,2.430446313,4.027274984,46.37447046
93369,0,0,0,0,0.138087484,34.00921984,0.014282518,0,0.161898235,0.226790775,0.35002081,4.559380524,0,0.042386072,0.239072351,1.810317875,0.44689224,3.409772151,45.40812087
92280,0.025337653,0,0,0.828894909,1.103095815,27.24246832,0.089182321,0.28964218,0.388842962,1.824511402,1.123973607,3.095039275,0,0.158600242,0.079894888,2.624609855,2.289116715,4.222185854,45.385396
92603,0.062598182,0,0,0.038801617,0.224655908,30.94918286,0.224115258,0.763714367,1.0614906,0.537154848,0.589900754,2.89835637,0,0.158971984,0.272057924,2.209439067,2.146037603,2.661589326,44.79806667
91735,0,0,0,2.846706004,3.862643774,10.60274799,0,0.291891292,0,4.715116828,3.641005529,7.407522321,0,0.030944659,0.018058589,1.965181049,5.203535077,3.981847446,44.56720055
93057,0,0,0,0,0.25971495,29.24398332,0.026975613,0.018309799,0.131767324,0.260414938,0.511411642,6.655706068,0,0.088560248,0.086537056,1.944923879,1.381418594,3.630122899,44.23984633
91900,0,0,0,2.801677281,3.556219322,11.42858757,0,0.078415671,0,3.94557102,3.203276598,6.902996129,0,0.069993552,0,2.076050368,5.106326407,4.86940993,44.03852384
92482,0.028033359,0,0,0.440749655,0.726265315,26.09934906,0.097381014,0.313371323,0.458211195,1.342394961,0.895237251,2.469211366,0,0.458131955,0.103046268,3.163932163,1.997765377,5.251526049,43.84460631
92479,0.040540357,0,0,0.437182821,0.732475952,25.81990839,0.13993902,0.439928578,0.665091507,1.749795389,0.955084945,2.758980939,0,0.25105699,0.165321551,3.203933253,2.012668433,4.375386423,43.74729455
92201,0.05768573,0,0,0.96831211,1.313522794,21.81500958,0.206425158,0.61967196,0.93269063,1.884545594,1.585920043,3.56112084,0,0.183481342,0.234984414,2.390440912,3.690364509,3.825206418,43.26938203
93186,0,0,0,0,0.26982771,29.94196456,0.017943363,0.012388551,0.149323172,0.221078416,0.548496127,5.210379972,0,0.108588438,0.096084048,2.590866916,0.842857434,3.091756692,43.1015554
92991,0,0,0,0,0.206352619,27.05172514,0.037803917,0.022803466,0.124970836,0.258226464,0.39739285,7.535174063,0,0.058578469,0.099454296,1.529808399,0.821071552,4.654596772,42.79795884
93050,0,0,0,0,0,22.18162118,0.093966191,0.012651748,0.126708396,0.204630555,0.163379878,11.38192431,0,0,0.13099587,0.638241377,0.323007753,7.478698858,42.73582611
93250,0,0,0,0,0.224399443,30.15739843,0.016023864,0,0.150441491,0.215885195,0.476249037,5.236562916,0,0.097372021,0.103851445,2.092260816,0.73764818,2.981165692,42.48925854
92190,0.446977088,0,0,1.054254451,0.965086606,6.175814594,1.989290079,4.178041081,6.977785486,1.122675281,3.29069895,2.48485972,0,0.17280587,1.400788639,4.050184162,5.564256561,2.243185126,42.1167037
91979,0,0,0,2.416943104,3.069731536,11.68577141,0,0.070902149,0,3.412846987,2.736652778,5.803525688,0,0.079264291,0,2.111621651,5.114681035,5.576398221,42.07833885
92209,0.025004552,0,0,1.113371798,1.471712864,21.22160791,0.088353014,0.288597183,0.383094534,2.175768032,1.429129265,3.516584264,0,0.129612096,0.090233172,3.184004374,2.842179481,4.067190911,42.02644345
92128,0.024226586,0,0,1.623452482,2.119955023,16.93379928,0.085908091,0.237949574,0.31845888,3.137006034,2.000532676,4.559932042,0,0.112933633,0.076047334,2.403464219,3.767990671,4.621606365,42.02326289
92417,0.024711289,0,0,0.52088549,0.803648349,26.46419714,0.086302863,0.280956416,0.380437062,1.542376252,0.931791386,2.541664842,0,0.364001976,0.078629148,2.249608061,1.790211197,3.930877999,41.99029947
92266,0.41288388,0,0,0.627659676,0.967176538,7.931577764,1.522984611,4.509033244,6.643939302,1.210845894,2.577760272,2.025533747,0,0.158940922,1.75708735,5.349803321,3.905286557,2.271796235,41.87230931
